,년월,시도명,읍면동명,업종명,이용자수,이용금액,총 유동인구,데이터기준일자
2,20-Jan,서귀포시,남원읍,소매,3313,159828593,16801997.61,2020-12-15
29,20-Jan,서귀포시,대륜동,소매,645,122247500,16830498.28,2020-12-15
57,20-Jan,서귀포시,대정읍,소매,461,44083700,18476081.71,2020-12-15
85,20-Jan,서귀포시,대천동,소매,333,70682700,9737936.316,2020-12-15
110,20-Jan,서귀포시,동홍동,소매,933,99842750,19770410.63,2020-12-15
136,20-Jan,서귀포시,서홍동,소매,50,3636000,7659463.85,2020-12-15
161,20-Jan,서귀포시,성산읍,소매,1494,128362030,17204429.85,2020-12-15
193,20-Jan,서귀포시,송산동,소매,9151,567368508,22477951.84,2020-12-15
224,20-Jan,서귀포시,안덕면,소매,594,56665700,19888850.5,2020-12-15
255,20-Jan,서귀포시,영천동,소매,143,32651800,5939587.76,2020-12-15
275,20-Jan,서귀포시,예래동,소매,197,41081500,8063837.637,2020-12-15
303,20-Jan,서귀포시,정방동,소매,8105,437511958,5250639.372,2020-12-15
330,20-Jan,서귀포시,중문동,소매,884,88882080,11695772.36,2020-12-15
359,20-Jan,서귀포시,중앙동,소매,8105,437511958,5087795.118,2020-12-15
386,20-Jan,서귀포시,천지동,소매,8155,441147958,9663139.342,2020-12-15
415,20-Jan,서귀포시,표선면,소매,2266,266001800,12037184.0,2020-12-15
443,20-Jan,서귀포시,효돈동,소매,776,73556050,4578960.949,2020-12-15
464,20-Jan,제주시,건입동,소매,199,29184000,10594143.14,2020-12-15
494,20-Jan,제주시,구좌읍,소매,343,34954990,15302814.41,2020-12-15
522,20-Jan,제주시,노형동,소매,1905,187989338,57035512.82,2020-12-15
555,20-Jan,제주시,도두동,소매,176,35668000,4225425.764,2020-12-15
578,20-Jan,제주시,봉개동,소매,170,19182100,6509112.861,2020-12-15
596,20-Jan,제주시,삼도1동,소매,240,117371100,12129463.91,2020-12-15
623,20-Jan,제주시,삼도2동,소매,186,8349509,8099927.678,2020-12-15
