,년월,시도명,읍면동명,업종명,이용자수,이용금액,총 유동인구,데이터기준일자
26,20-Jan,서귀포시,남원읍,쇼핑,165,6386800,16801997.61,2020-12-15
54,20-Jan,서귀포시,대륜동,쇼핑,5,445000,16830498.28,2020-12-15
83,20-Jan,서귀포시,대정읍,쇼핑,252,11762870,18476081.71,2020-12-15
107,20-Jan,서귀포시,대천동,쇼핑,1,137500,9737936.316,2020-12-15
134,20-Jan,서귀포시,동홍동,쇼핑,8,2502000,19770410.63,2020-12-15
159,20-Jan,서귀포시,서홍동,쇼핑,2,410000,7659463.85,2020-12-15
190,20-Jan,서귀포시,성산읍,쇼핑,335,11394040,17204429.85,2020-12-15
221,20-Jan,서귀포시,송산동,쇼핑,1403,116741110,22477951.84,2020-12-15
251,20-Jan,서귀포시,안덕면,쇼핑,2534,62059510,19888850.5,2020-12-15
300,20-Jan,서귀포시,예래동,쇼핑,2,180000,8063837.637,2020-12-15
328,20-Jan,서귀포시,정방동,쇼핑,1395,114239110,5250639.372,2020-12-15
357,20-Jan,서귀포시,중문동,쇼핑,74,4898600,11695772.36,2020-12-15
384,20-Jan,서귀포시,중앙동,쇼핑,1395,114239110,5087795.118,2020-12-15
413,20-Jan,서귀포시,천지동,쇼핑,1397,114649110,9663139.342,2020-12-15
441,20-Jan,서귀포시,표선면,쇼핑,258,7396040,12037184.0,2020-12-15
491,20-Jan,제주시,건입동,쇼핑,25,1006000,10594143.14,2020-12-15
520,20-Jan,제주시,구좌읍,쇼핑,4,238000,15302814.41,2020-12-15
553,20-Jan,제주시,노형동,쇼핑,812,138892250,57035512.82,2020-12-15
621,20-Jan,제주시,삼도1동,쇼핑,137,16919250,12129463.91,2020-12-15
650,20-Jan,제주시,삼도2동,쇼핑,77,12112595,8099927.678,2020-12-15
676,20-Jan,제주시,삼양동,쇼핑,481,15139580,17225689.49,2020-12-15
704,20-Jan,제주시,아라동,쇼핑,286,11570766,37981297.1,2020-12-15
735,20-Jan,제주시,애월읍,쇼핑,191,12362650,42634658.03,2020-12-15
770,20-Jan,제주시,연동,쇼핑,4070,516015037,53916295.07,2020-12-15
797,20-Jan,제주시,오라동,쇼핑,20,14664000,20300163.74,2020-12-15
827,20-Jan,제주시,외도동,쇼핑,395,16409320,11662174.2,2020-12-15
857,20-Jan,제주시,용담1동,쇼핑,26,2779600,8124166.637,2020-12-15
881,20-Jan,제주시,용담2동,쇼핑,845,301992947,20449134.93,2020-12-15
931,20-Jan,제주시,이도1동,쇼핑,287,11123870,12140177.55,2020-12-15
961,20-Jan,제주시,이도2동,쇼핑,2200,127846090,55681295.56,2020-12-15
986,20-Jan,제주시,이호동,쇼핑,3,1204800,4907669.303,2020-12-15
1012,20-Jan,제주시,일도1동,쇼핑,1128,45636900,3553858.98,2020-12-15
1040,20-Jan,제주시,일도2동,쇼핑,790,38361320,27941024.13,2020-12-15
1072,20-Jan,제주시,조천읍,쇼핑,61,3383500,24554291.51,2020-12-15
1114,20-Jan,제주시,한경면,쇼핑,1,12000,7260827.47,2020-12-15
1143,20-Jan,제주시,한림읍,쇼핑,267,10638740,22218465.44,2020-12-15
