,년월,시도명,읍면동명,업종명,이용자수,이용금액,총 유동인구,데이터기준일자
53,20-Jan,서귀포시,대륜동,숙박,32,5656180,16830498.28,2020-12-15
106,20-Jan,서귀포시,대천동,숙박,608,79761063,9737936.316,2020-12-15
158,20-Jan,서귀포시,서홍동,숙박,193,28694566,7659463.85,2020-12-15
189,20-Jan,서귀포시,성산읍,숙박,29,1305000,17204429.85,2020-12-15
220,20-Jan,서귀포시,송산동,숙박,1413,128196982,22477951.84,2020-12-15
273,20-Jan,서귀포시,영천동,숙박,1397,127166982,5939587.76,2020-12-15
299,20-Jan,서귀포시,예래동,숙박,5364,2194126457,8063837.637,2020-12-15
327,20-Jan,서귀포시,정방동,숙박,16,1030000,5250639.372,2020-12-15
356,20-Jan,서귀포시,중문동,숙박,230,32878971,11695772.36,2020-12-15
383,20-Jan,서귀포시,중앙동,숙박,16,1030000,5087795.118,2020-12-15
412,20-Jan,서귀포시,천지동,숙박,209,29724566,9663139.342,2020-12-15
490,20-Jan,제주시,건입동,숙박,34,1405000,10594143.14,2020-12-15
519,20-Jan,제주시,구좌읍,숙박,3,110000,15302814.41,2020-12-15
552,20-Jan,제주시,노형동,숙박,149,15115000,57035512.82,2020-12-15
620,20-Jan,제주시,삼도1동,숙박,237,69567296,12129463.91,2020-12-15
649,20-Jan,제주시,삼도2동,숙박,2230,632812739,8099927.678,2020-12-15
734,20-Jan,제주시,애월읍,숙박,10,141000,42634658.03,2020-12-15
769,20-Jan,제주시,연동,숙박,4007,1203199896,53916295.07,2020-12-15
826,20-Jan,제주시,외도동,숙박,238,42485634,11662174.2,2020-12-15
856,20-Jan,제주시,용담1동,숙박,37,24690000,8124166.637,2020-12-15
930,20-Jan,제주시,이도1동,숙박,1195,204115399,12140177.55,2020-12-15
1011,20-Jan,제주시,일도1동,숙박,23,1659000,3553858.98,2020-12-15
1071,20-Jan,제주시,조천읍,숙박,149,19915308,24554291.51,2020-12-15
1224,20-Feb,서귀포시,대륜동,숙박,10,1844080,14619366.84,2020-12-15
1277,20-Feb,서귀포시,대천동,숙박,400,125808857,8684206.771,2020-12-15
1328,20-Feb,서귀포시,서홍동,숙박,70,4651208,6718256.621,2020-12-15
1359,20-Feb,서귀포시,성산읍,숙박,36,1700000,13696298.7,2020-12-15
1391,20-Feb,서귀포시,송산동,숙박,885,165468616,20084829.94,2020-12-15
1444,20-Feb,서귀포시,영천동,숙박,883,165393616,5134790.03,2020-12-15
1472,20-Feb,서귀포시,예래동,숙박,2393,886452410,5606543.599,2020-12-15
1501,20-Feb,서귀포시,정방동,숙박,2,75000,3882766.539,2020-12-15
1530,20-Feb,서귀포시,중문동,숙박,156,20918537,9992318.188,2020-12-15
1558,20-Feb,서귀포시,중앙동,숙박,2,75000,4315790.567,2020-12-15
1588,20-Feb,서귀포시,천지동,숙박,72,4726208,8361020.359,2020-12-15
