,년월,시도명,읍면동명,업종명,이용자수,이용금액,총 유동인구,데이터기준일자
24,20-Jan,서귀포시,남원읍,식음료,547,12897300,16801997.61,2020-12-15
51,20-Jan,서귀포시,대륜동,식음료,330,15192990,16830498.28,2020-12-15
81,20-Jan,서귀포시,대정읍,식음료,2563,44131760,18476081.71,2020-12-15
104,20-Jan,서귀포시,대천동,식음료,4727,62863240,9737936.316,2020-12-15
132,20-Jan,서귀포시,동홍동,식음료,2980,55154990,19770410.63,2020-12-15
156,20-Jan,서귀포시,서홍동,식음료,458,7077750,7659463.85,2020-12-15
187,20-Jan,서귀포시,성산읍,식음료,1576,34726080,17204429.85,2020-12-15
218,20-Jan,서귀포시,송산동,식음료,10855,160665970,22477951.84,2020-12-15
249,20-Jan,서귀포시,안덕면,식음료,304,11306300,19888850.5,2020-12-15
297,20-Jan,서귀포시,예래동,식음료,3332,41876822,8063837.637,2020-12-15
325,20-Jan,서귀포시,정방동,식음료,7875,105510980,5250639.372,2020-12-15
354,20-Jan,서귀포시,중문동,식음료,2847,40788290,11695772.36,2020-12-15
381,20-Jan,서귀포시,중앙동,식음료,7875,105510980,5087795.118,2020-12-15
410,20-Jan,서귀포시,천지동,식음료,8333,112588730,9663139.342,2020-12-15
439,20-Jan,서귀포시,표선면,식음료,1147,21785550,12037184.0,2020-12-15
461,20-Jan,서귀포시,효돈동,식음료,275,2441900,4578960.949,2020-12-15
488,20-Jan,제주시,건입동,식음료,4303,52276550,10594143.14,2020-12-15
517,20-Jan,제주시,구좌읍,식음료,247,10655400,15302814.41,2020-12-15
550,20-Jan,제주시,노형동,식음료,17376,238601581,57035512.82,2020-12-15
618,20-Jan,제주시,삼도1동,식음료,581,13172700,12129463.91,2020-12-15
647,20-Jan,제주시,삼도2동,식음료,694,7193550,8099927.678,2020-12-15
674,20-Jan,제주시,삼양동,식음료,3293,46763500,17225689.49,2020-12-15
702,20-Jan,제주시,아라동,식음료,4169,77396710,37981297.1,2020-12-15
732,20-Jan,제주시,애월읍,식음료,2349,40576950,42634658.03,2020-12-15
767,20-Jan,제주시,연동,식음료,3525,57132530,53916295.07,2020-12-15
824,20-Jan,제주시,외도동,식음료,3217,51462831,11662174.2,2020-12-15
854,20-Jan,제주시,용담1동,식음료,548,8476200,8124166.637,2020-12-15
879,20-Jan,제주시,용담2동,식음료,16200,162131639,20449134.93,2020-12-15
903,20-Jan,제주시,우도면,식음료,161,1955200,1678053.974,2020-12-15
928,20-Jan,제주시,이도1동,식음료,811,9795980,12140177.55,2020-12-15
959,20-Jan,제주시,이도2동,식음료,14662,196470259,55681295.56,2020-12-15
1009,20-Jan,제주시,일도1동,식음료,1720,17001500,3553858.98,2020-12-15
1038,20-Jan,제주시,일도2동,식음료,7592,82259170,27941024.13,2020-12-15
1069,20-Jan,제주시,조천읍,식음료,2239,39495140,24554291.51,2020-12-15
1112,20-Jan,제주시,한경면,식음료,271,10146000,7260827.47,2020-12-15
1141,20-Jan,제주시,한림읍,식음료,1763,32721600,22218465.44,2020-12-15
1169,20-Jan,제주시,화북동,식음료,2186,40792770,25313413.13,2020-12-15
1196,20-Feb,서귀포시,남원읍,식음료,516,11364500,13929324.61,2020-12-15
1222,20-Feb,서귀포시,대륜동,식음료,330,11573360,14619366.84,2020-12-15
1252,20-Feb,서귀포시,대정읍,식음료,2574,45349240,17385426.19,2020-12-15
1275,20-Feb,서귀포시,대천동,식음료,3693,44719080,8684206.771,2020-12-15
1303,20-Feb,서귀포시,동홍동,식음료,2541,43734980,17858110.71,2020-12-15
1326,20-Feb,서귀포시,서홍동,식음료,304,7879700,6718256.621,2020-12-15
