,년월,시도명,읍면동명,업종명,이용자수,이용금액,총 유동인구,데이터기준일자
13,20-Jan,서귀포시,남원읍,문화/레져,164,4966200,16801997.61,2020-12-15
41,20-Jan,서귀포시,대륜동,문화/레져,1,220000,16830498.28,2020-12-15
69,20-Jan,서귀포시,대정읍,문화/레져,512,37062640,18476081.71,2020-12-15
95,20-Jan,서귀포시,대천동,문화/레져,4,820000,9737936.316,2020-12-15
121,20-Jan,서귀포시,동홍동,문화/레져,1047,75296800,19770410.63,2020-12-15
147,20-Jan,서귀포시,서홍동,문화/레져,3,161700,7659463.85,2020-12-15
175,20-Jan,서귀포시,성산읍,문화/레져,138,11519500,17204429.85,2020-12-15
206,20-Jan,서귀포시,송산동,문화/레져,3945,487131860,22477951.84,2020-12-15
238,20-Jan,서귀포시,안덕면,문화/레져,99,5831000,19888850.5,2020-12-15
264,20-Jan,서귀포시,영천동,문화/레져,72,8372800,5939587.76,2020-12-15
286,20-Jan,서귀포시,예래동,문화/레져,570,45612780,8063837.637,2020-12-15
315,20-Jan,서귀포시,정방동,문화/레져,2857,406722260,5250639.372,2020-12-15
343,20-Jan,서귀포시,중문동,문화/레져,367,15386800,11695772.36,2020-12-15
371,20-Jan,서귀포시,중앙동,문화/레져,2857,406722260,5087795.118,2020-12-15
399,20-Jan,서귀포시,천지동,문화/레져,2860,406883960,9663139.342,2020-12-15
427,20-Jan,서귀포시,표선면,문화/레져,715,25163950,12037184.0,2020-12-15
477,20-Jan,제주시,건입동,문화/레져,334,30916700,10594143.14,2020-12-15
505,20-Jan,제주시,구좌읍,문화/레져,90,2806600,15302814.41,2020-12-15
537,20-Jan,제주시,노형동,문화/레져,707,133098600,57035512.82,2020-12-15
564,20-Jan,제주시,도두동,문화/레져,354,13660300,4225425.764,2020-12-15
607,20-Jan,제주시,삼도1동,문화/레져,157,33799500,12129463.91,2020-12-15
636,20-Jan,제주시,삼도2동,문화/레져,136,24801950,8099927.678,2020-12-15
663,20-Jan,제주시,삼양동,문화/레져,557,22608070,17225689.49,2020-12-15
691,20-Jan,제주시,아라동,문화/레져,161,15566060,37981297.1,2020-12-15
720,20-Jan,제주시,애월읍,문화/레져,539,17393400,42634658.03,2020-12-15
753,20-Jan,제주시,연동,문화/레져,4302,591729135,53916295.07,2020-12-15
784,20-Jan,제주시,오라동,문화/레져,884,83014060,20300163.74,2020-12-15
811,20-Jan,제주시,외도동,문화/레져,111,2972200,11662174.2,2020-12-15
840,20-Jan,제주시,용담1동,문화/레져,60,3795400,8124166.637,2020-12-15
868,20-Jan,제주시,용담2동,문화/레져,322,14773500,20449134.93,2020-12-15
893,20-Jan,제주시,우도면,문화/레져,324,15057300,1678053.974,2020-12-15
918,20-Jan,제주시,이도1동,문화/레져,318,44543757,12140177.55,2020-12-15
945,20-Jan,제주시,이도2동,문화/레져,1153,137885050,55681295.56,2020-12-15
973,20-Jan,제주시,이호동,문화/레져,100,4333700,4907669.303,2020-12-15
999,20-Jan,제주시,일도1동,문화/레져,7412,1029134565,3553858.98,2020-12-15
1027,20-Jan,제주시,일도2동,문화/레져,573,47134200,27941024.13,2020-12-15
1056,20-Jan,제주시,조천읍,문화/레져,572,28395000,24554291.51,2020-12-15
1080,20-Jan,제주시,추자면,문화/레져,27,1026500,2052369.806,2020-12-15
1102,20-Jan,제주시,한경면,문화/레져,67,1775000,7260827.47,2020-12-15
1130,20-Jan,제주시,한림읍,문화/레져,203,10838856,22218465.44,2020-12-15
1158,20-Jan,제주시,화북동,문화/레져,323,32767300,25313413.13,2020-12-15
1185,20-Feb,서귀포시,남원읍,문화/레져,130,11026000,13929324.61,2020-12-15
1212,20-Feb,서귀포시,대륜동,문화/레져,9,605000,14619366.84,2020-12-15
1240,20-Feb,서귀포시,대정읍,문화/레져,418,28001000,17385426.19,2020-12-15
1292,20-Feb,서귀포시,동홍동,문화/레져,927,87539900,17858110.71,2020-12-15
